deg,width,func,epoch,train_loss,val_loss,batch_size,lr,n_samples,func_val_test,time_elapsed,backend,top_eig,trace,top_eig_train,trace_train,stop_loss,ln_eps,ln,weight_norm,l,d,f,h,dropout,wd,N,sam,sam_rho,asam
5,20,0,58890,tensor(0.0567),tensor(0.0630),256,0.002,20000,tensor([2.7638]),924.499,nccl,2496.17919921875,3628.2453741776317,2542.787353515625,3399.985440340909,0.02,1e-05,False,25.01715896270469,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76150,tensor(0.0658),tensor(0.0665),256,0.002,20000,tensor([2.8828]),1189.969,nccl,1215.190673828125,2168.2264709472656,1166.2144775390625,3587.26766531808,0.02,1e-05,False,23.912037559252276,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58900,tensor(0.0601),tensor(0.0647),256,0.002,20000,tensor([2.7638]),924.656,nccl,2518.96875,3712.7161376953127,2522.771728515625,3031.786331176758,0.02,1e-05,False,24.998912431391368,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76160,tensor(0.0694),tensor(0.0722),256,0.002,20000,tensor([2.8828]),1190.122,nccl,1199.37158203125,2544.0757739727314,1173.979248046875,2655.153742009943,0.02,1e-05,False,23.95502051557276,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58910,tensor(0.0573),tensor(0.0615),256,0.002,20000,tensor([2.7638]),924.81,nccl,2536.83935546875,4051.3286517333986,2552.26171875,3115.7453881835936,0.02,1e-05,False,25.032912821196476,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76170,tensor(0.0710),tensor(0.0725),256,0.002,20000,tensor([2.8828]),1190.277,nccl,1262.842529296875,3251.4051879882813,1213.013671875,2443.798927307129,0.02,1e-05,False,23.967591188556607,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58920,tensor(0.0591),tensor(0.0644),256,0.002,20000,tensor([2.7638]),924.972,nccl,2494.53076171875,3293.29712444803,2507.313232421875,4237.1564676036005,0.02,1e-05,False,25.07768975187517,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76180,tensor(0.0690),tensor(0.0720),256,0.002,20000,tensor([2.8828]),1190.429,nccl,1331.3287353515625,3253.126371495864,1256.67431640625,2147.7182672674007,0.02,1e-05,False,24.034509203253354,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58930,tensor(0.0559),tensor(0.0608),256,0.002,20000,tensor([2.7638]),925.127,nccl,2485.22607421875,4050.6739084344163,2517.263427734375,2936.486740451389,0.02,1e-05,False,25.107881252440226,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76190,tensor(0.0733),tensor(0.0720),256,0.002,20000,tensor([2.8828]),1190.582,nccl,1228.3123779296875,3137.3389892578125,1214.0751953125,3018.4207899305557,0.02,1e-05,False,24.085297092082808,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58940,tensor(0.0562),tensor(0.0605),256,0.002,20000,tensor([2.7638]),925.281,nccl,2507.00927734375,3436.8488759007946,2517.43359375,3805.625099331725,0.02,1e-05,False,25.086153744978752,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76200,tensor(0.0658),tensor(0.0640),256,0.002,20000,tensor([2.8828]),1190.737,nccl,1258.9150390625,2797.0903705797696,1229.066162109375,2896.092529296875,0.02,1e-05,False,24.181477046244915,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58950,tensor(0.0551),tensor(0.0574),256,0.002,20000,tensor([2.7638]),925.439,nccl,2457.75146484375,3768.6936995562387,2506.926513671875,3935.4480775077386,0.02,1e-05,False,25.1534027231226,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76210,tensor(0.0754),tensor(0.0768),256,0.002,20000,tensor([2.8828]),1190.888,nccl,1285.0914306640625,3047.479139848189,1234.7188720703125,2806.6799443562827,0.02,1e-05,False,24.292405803674956,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58960,tensor(0.0564),tensor(0.0611),256,0.002,20000,tensor([2.7638]),925.598,nccl,2524.29345703125,2727.2224709647044,2554.485107421875,3363.150665283203,0.02,1e-05,False,25.164466695003753,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76220,tensor(0.0723),tensor(0.0772),256,0.002,20000,tensor([2.8828]),1191.044,nccl,1343.0740966796875,3388.0469482421877,1308.531005859375,2909.08909070814,0.02,1e-05,False,24.466888343399873,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58970,tensor(0.0628),tensor(0.0687),256,0.002,20000,tensor([2.7638]),925.754,nccl,2529.649169921875,4985.611246744792,2568.645751953125,2499.3686027526855,0.02,1e-05,False,25.211119699236605,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76230,tensor(0.0603),tensor(0.0603),256,0.002,20000,tensor([2.8828]),1191.2,nccl,1377.637939453125,3291.3011662409854,1359.46826171875,3440.1607462565103,0.02,1e-05,False,24.716908668461848,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58980,tensor(0.0588),tensor(0.0621),256,0.002,20000,tensor([2.7638]),925.906,nccl,2536.291259765625,3786.345984350277,2568.69140625,2484.211734347873,0.02,1e-05,False,25.251089037878945,,30,128,1,0.1,0.0001,20,False,0.05,False
